Season,TeamName,TeamID,FirstDayNum,LastDayNum,CoachName
1985,Air Force,1102,0,154,Reggie Minton
1985,Akron,1103,0,154,Bob Huggins
1985,Alabama,1104,0,154,Wimp Sanderson
1985,Alabama St,1106,0,154,James Oliver
1985,Alcorn St,1108,0,154,Davey Whitney
1985,Alliant Intl,1109,0,154,Freddie Goss
1985,American Univ,1110,0,154,Ed Tapscott
1985,Appalachian St,1111,0,154,Kevin Cantwell
1985,Arizona,1112,0,154,Lute Olson
1985,Arizona St,1113,0,154,Bob Weinhauer
1985,Ark Little Rock,1114,0,154,Mike Newell
1985,Arkansas,1116,0,154,Eddie Sutton
1985,Arkansas St,1117,0,154,Nelson Catalina
1985,Army,1119,0,154,Les Wothke
1985,Auburn,1120,0,154,Sonny Smith
1985,Augusta,1121,0,154,Marvin Vanover
1985,Austin Peay,1122,0,154,Howard Jackson
1985,Ball St,1123,0,154,Al Brown
1985,Baylor,1124,0,154,Jim Haller
1985,Bethune-Cookman,1126,0,154,Cy McClairen
1985,Boise St,1129,0,154,Bobby Dye
1985,Boston College,1130,0,154,Gary Williams
1985,Boston Univ,1131,0,154,John Kuester
1985,Bowling Green,1132,0,154,John Weinert
1985,Bradley,1133,0,154,Dick Versace
1985,Brooklyn,1134,0,154,Mark Reiner
1985,Brown,1135,0,154,Mike Cingiser
1985,Bucknell,1137,0,154,Charles Woollum
1985,Butler,1139,0,154,Joe Sexson
1985,BYU,1140,0,154,Ladell Andersen
1985,C Michigan,1141,0,154,Dick Parfitt
1985,California,1143,0,154,Dick Kuchen
1985,Campbell,1144,0,154,Jerry Smith
1985,Canisius,1145,0,154,Nick Macarchuk
1985,Centenary,1147,0,154,Tommy Canterbury
1985,Charleston So,1149,0,154,Tommy Gaither
1985,Charlotte,1150,0,154,Hal Wissel
1985,Chattanooga,1151,0,154,Murray Arnold
1985,Chicago St,1152,0,154,Bob Hallberg
1985,Cincinnati,1153,0,154,Tony Yates
1985,Citadel,1154,0,154,Les Robinson
1985,Clemson,1155,0,154,Cliff Ellis
1985,Cleveland St,1156,0,154,Kevin Mackey
1985,Colgate,1159,0,154,Tony Relvas
1985,Colorado,1160,0,154,Tom Apke
1985,Colorado St,1161,0,154,Tony McAndrews
1985,Columbia,1162,0,154,Wayne Szoke
1985,Connecticut,1163,0,154,Dom Perno
1985,Cornell,1165,0,154,Tom Miller
1985,Creighton,1166,0,154,Willie Reed
1985,CS Fullerton,1168,0,154,George McQuarn
1985,Dartmouth,1171,0,154,Paul Cormier
1985,Davidson,1172,0,154,Bobby Hussey
1985,Dayton,1173,0,154,Don Donoher
1985,Delaware,1174,0,154,Ron Rainey
1985,Delaware St,1175,0,154,Joe Dean Davidson
1985,DePaul,1177,0,154,Joey Meyer
1985,Detroit,1178,0,154,Don Sicko
1985,Drake,1179,0,154,Gary Garner
1985,Drexel,1180,0,154,Eddie Burke
1985,Duke,1181,0,154,Mike Krzyzewski
1985,Duquesne,1182,0,154,Jim Satalin
1985,E Illinois,1183,0,154,Rick Samuels
1985,E Kentucky,1184,0,154,Max Good
1985,E Michigan,1185,0,154,Jim Boyce
1985,E Washington,1186,0,154,Jerry Krause
1985,East Carolina,1187,0,154,Charlie Harrison
1985,ETSU,1190,0,154,Barry Dowd
1985,Evansville,1191,0,154,Dick Walters
1985,F Dickinson,1192,0,154,Tom Green
1985,Fairfield,1193,0,154,Terry O'Connor
1985,Florida,1196,0,154,Norm Sloan
1985,Florida A&M,1197,0,154,Willie Booker
1985,Florida St,1199,0,154,Joe Williams
1985,Fordham,1200,0,154,Thomas Penders
1985,Fresno St,1201,0,154,Tiny Grant
1985,Furman,1202,0,154,Jene Davis
1985,G Washington,1203,0,154,Gerry Gimelstob
1985,Ga Southern,1204,0,154,Frank Kerns
1985,George Mason,1206,0,154,Joe Harrington
1985,Georgetown,1207,0,154,John Thompson Jr
1985,Georgia,1208,0,154,Hugh Durham
1985,Georgia St,1209,0,36,Tom Pugliese
1985,Georgia St,1209,37,154,Mark Slonaker
1985,Georgia Tech,1210,0,154,Bobby Cremins
1985,Gonzaga,1211,0,154,Jay Hillock
1985,Grambling,1212,0,154,Fred Hobdy
1985,Hardin-Simmons,1215,0,154,Dick Danford
1985,Hartford,1216,0,154,Jack Phelan
1985,Harvard,1217,0,154,Frank McLaughlin
1985,Hawaii,1218,0,154,Larry Little
1985,Hofstra,1220,0,154,Dick Berg
1985,Holy Cross,1221,0,154,George Blaney
1985,Houston,1222,0,154,Guy Lewis
1985,Houston Chr,1223,0,154,Gene Iba
1985,Howard,1224,0,154,A B Williamson
1985,Idaho,1225,0,154,Bill Trumbo
1985,Idaho St,1226,0,154,Wayne Ballard
1985,IL Chicago,1227,0,154,Willie Little
1985,Illinois,1228,0,154,Lou Henson
1985,Illinois St,1229,0,154,Bob Donewald
1985,Indiana,1231,0,154,Bob Knight
1985,Indiana St,1232,0,154,Dave Schellhase
1985,Iona,1233,0,154,Pat Kennedy
1985,Iowa,1234,0,154,George Raveling
1985,Iowa St,1235,0,154,Johnny Orr
1985,Jackson St,1238,0,154,Paul Covington
1985,Jacksonville,1239,0,154,Bob Wenzel
1985,James Madison,1241,0,154,Lou Campanelli
1985,Kansas,1242,0,154,Larry Brown
1985,Kansas St,1243,0,154,Jack Hartman
1985,Kent,1245,0,154,Jim McDonald
1985,Kentucky,1246,0,154,Joe B Hall
1985,La Salle,1247,0,154,Lefty Ervin
1985,Lafayette,1248,0,154,Butch Van Breda Kolff
1985,Lamar,1249,0,154,Pat Foster
1985,Lehigh,1250,0,154,Tom Schneider
1985,Long Beach St,1253,0,154,Ron Palmer
1985,LIU Brooklyn,1254,0,154,Paul Lizzo
1985,Louisiana Tech,1256,0,154,Andy Russo
1985,Louisville,1257,0,154,Denny Crum
1985,Loy Marymount,1258,0,154,Ed Goorjian
1985,Loyola MD,1259,0,154,Mark Amatucci
1985,Loyola-Chicago,1260,0,154,Gene Sullivan
1985,LSU,1261,0,154,Dale Brown
1985,Maine,1263,0,154,Skip Chappelle
1985,Manhattan,1264,0,154,Gordon Chiesa
1985,Marist,1265,0,154,Matt Furjanic
1985,Marquette,1266,0,154,Rick Majerus
1985,Marshall,1267,0,154,Rick Huckabay
1985,Maryland,1268,0,154,Lefty Driesell
1985,Massachusetts,1269,0,154,Ron Gerlufsen
1985,McNeese St,1270,0,154,Glenn Duhon
1985,MD E Shore,1271,0,154,Howie Evans
1985,Memphis,1272,0,154,Dana Kirk
1985,Mercer,1273,0,154,Bill Bibb
1985,Miami OH,1275,0,154,Jerry Peirson
1985,Michigan,1276,0,154,Bill Frieder
1985,Michigan St,1277,0,154,Jud Heathcote
1985,Minnesota,1278,0,154,Jim Dutcher
1985,Mississippi,1279,0,154,Lee Hunt
1985,Mississippi St,1280,0,154,Bob Boyd
1985,Missouri,1281,0,154,Norm Stewart
1985,Missouri St,1283,0,154,Charles Spoonhour
1985,Monmouth NJ,1284,0,154,Ron Kornegay
1985,Montana,1285,0,154,Mike Montgomery
1985,Montana St,1286,0,154,Stu Starner
1985,Morehead St,1287,0,154,Wayne Martin
1985,Morgan St,1288,0,37,Thomas Dean
1985,Morgan St,1288,38,154,Nathaniel McMillian
1985,MS Valley St,1290,0,154,Lafayette Stribling
1985,MTSU,1292,0,154,Bruce Stewart
1985,Murray St,1293,0,154,Ronald Greene
1985,N Illinois,1296,0,154,John McDougal
1985,Navy,1298,0,154,Paul Evans
1985,NC A&T,1299,0,154,Don Corbett
1985,NC State,1301,0,154,Jim Valvano
1985,Nebraska,1304,0,154,Moe Iba
1985,Nevada,1305,0,154,Sonny Allen
1985,New Hampshire,1306,0,154,Gerry Friel
1985,New Mexico,1307,0,154,Gary Colson
1985,New Mexico St,1308,0,154,Weldon Drew
1985,New Orleans,1309,0,154,Don Smith
