Season,TeamName,TeamID,ConfAbbrev,ConfName
1985,Air Force,1102,wac,Western Athletic Conference
1985,Akron,1103,ovc,Ohio Valley Conference
1985,Alabama,1104,sec,Southeastern Conference
1985,Alabama St,1106,swac,Southwest Athletic Conference
1985,Alcorn St,1108,swac,Southwest Athletic Conference
1985,Alliant Intl,1109,ind,Independent
1985,American Univ,1110,ecacs,Eastern Collegiate Athletic Conference South
1985,Appalachian St,1111,southern,Southern Conference
1985,Arizona,1112,pac_ten,Pacific-10 Conference
1985,Arizona St,1113,pac_ten,Pacific-10 Conference
1985,Ark Little Rock,1114,a_sun,Atlantic Sun Conference
1985,Arkansas,1116,swc,Southwest Conference
1985,Arkansas St,1117,southland,Southland Conference
1985,Army,1119,maac,Metro Atlantic Athletic Conference
1985,Auburn,1120,sec,Southeastern Conference
1985,Augusta,1121,ind,Independent
1985,Austin Peay,1122,ovc,Ohio Valley Conference
1985,Ball St,1123,mac,Mid-American Conference
1985,Baylor,1124,swc,Southwest Conference
1985,Bethune-Cookman,1126,meac,Mid-Eastern Athletic Conference
1985,Boise St,1129,big_sky,Big Sky Conference
1985,Boston College,1130,big_east,Big East Conference
1985,Boston Univ,1131,ecacn,Eastern Collegiate Athletic Conference North
1985,Bowling Green,1132,mac,Mid-American Conference
1985,Bradley,1133,mvc,Missouri Valley Conference
1985,Brooklyn,1134,ind,Independent
1985,Brown,1135,ivy,Ivy League
1985,Bucknell,1137,ecc,East Coast Conference
1985,Butler,1139,mw_city,Midwestern City Conference
1985,BYU,1140,wac,Western Athletic Conference
1985,C Michigan,1141,mac,Mid-American Conference
1985,California,1143,pac_ten,Pacific-10 Conference
1985,Campbell,1144,ind,Independent
1985,Canisius,1145,ecacn,Eastern Collegiate Athletic Conference North
1985,Centenary,1147,a_sun,Atlantic Sun Conference
1985,Charleston So,1149,ind,Independent
1985,Charlotte,1150,sun_belt,Sun Belt Conference
1985,Chattanooga,1151,southern,Southern Conference
1985,Chicago St,1152,ind,Independent
1985,Cincinnati,1153,metro,Metropolitan Collegiate Athletic Conference
1985,Citadel,1154,southern,Southern Conference
1985,Clemson,1155,acc,Atlantic Coast Conference
1985,Cleveland St,1156,mid_cont,Mid-Continent Conference
1985,Colgate,1159,ecacn,Eastern Collegiate Athletic Conference North
1985,Colorado,1160,big_eight,Big Eight Conference
1985,Colorado St,1161,wac,Western Athletic Conference
1985,Columbia,1162,ivy,Ivy League
1985,Connecticut,1163,big_east,Big East Conference
1985,Cornell,1165,ivy,Ivy League
1985,Creighton,1166,mvc,Missouri Valley Conference
1985,CS Fullerton,1168,pcaa,Pacific Coast Athletic Association
1985,Dartmouth,1171,ivy,Ivy League
1985,Davidson,1172,southern,Southern Conference
1985,Dayton,1173,ind,Independent
1985,Delaware,1174,ecc,East Coast Conference
1985,Delaware St,1175,meac,Mid-Eastern Athletic Conference
1985,DePaul,1177,ind,Independent
1985,Detroit,1178,mw_city,Midwestern City Conference
1985,Drake,1179,mvc,Missouri Valley Conference
1985,Drexel,1180,ecc,East Coast Conference
1985,Duke,1181,acc,Atlantic Coast Conference
1985,Duquesne,1182,a_ten,Atlantic 10 Conference
1985,E Illinois,1183,mid_cont,Mid-Continent Conference
1985,E Kentucky,1184,ovc,Ohio Valley Conference
1985,E Michigan,1185,mac,Mid-American Conference
1985,E Washington,1186,ind,Independent
1985,East Carolina,1187,ecacs,Eastern Collegiate Athletic Conference South
1985,ETSU,1190,southern,Southern Conference
1985,Evansville,1191,mw_city,Midwestern City Conference
1985,F Dickinson,1192,ecacm,Eastern Collegiate Athletic Conference Metro
1985,Fairfield,1193,maac,Metro Atlantic Athletic Conference
1985,Florida,1196,sec,Southeastern Conference
1985,Florida A&M,1197,ind,Independent
1985,Florida St,1199,metro,Metropolitan Collegiate Athletic Conference
1985,Fordham,1200,maac,Metro Atlantic Athletic Conference
1985,Fresno St,1201,pcaa,Pacific Coast Athletic Association
1985,Furman,1202,southern,Southern Conference
1985,G Washington,1203,a_ten,Atlantic 10 Conference
1985,Ga Southern,1204,a_sun,Atlantic Sun Conference
1985,George Mason,1206,ecacs,Eastern Collegiate Athletic Conference South
1985,Georgetown,1207,big_east,Big East Conference
1985,Georgia,1208,sec,Southeastern Conference
1985,Georgia St,1209,a_sun,Atlantic Sun Conference
1985,Georgia Tech,1210,acc,Atlantic Coast Conference
1985,Gonzaga,1211,wcc,West Coast Conference
1985,Grambling,1212,swac,Southwest Athletic Conference
1985,Hardin-Simmons,1215,a_sun,Atlantic Sun Conference
1985,Hartford,1216,ecacn,Eastern Collegiate Athletic Conference North
1985,Harvard,1217,ivy,Ivy League
1985,Hawaii,1218,wac,Western Athletic Conference
1985,Hofstra,1220,ecc,East Coast Conference
1985,Holy Cross,1221,maac,Metro Atlantic Athletic Conference
1985,Houston,1222,swc,Southwest Conference
1985,Houston Chr,1223,a_sun,Atlantic Sun Conference
1985,Howard,1224,meac,Mid-Eastern Athletic Conference
1985,Idaho,1225,big_sky,Big Sky Conference
1985,Idaho St,1226,big_sky,Big Sky Conference
1985,IL Chicago,1227,mid_cont,Mid-Continent Conference
1985,Illinois,1228,big_ten,Big Ten Conference
1985,Illinois St,1229,mvc,Missouri Valley Conference
1985,Indiana,1231,big_ten,Big Ten Conference
1985,Indiana St,1232,mvc,Missouri Valley Conference
1985,Iona,1233,maac,Metro Atlantic Athletic Conference
1985,Iowa,1234,big_ten,Big Ten Conference
1985,Iowa St,1235,big_eight,Big Eight Conference
1985,Jackson St,1238,swac,Southwest Athletic Conference
1985,Jacksonville,1239,sun_belt,Sun Belt Conference
1985,James Madison,1241,ecacs,Eastern Collegiate Athletic Conference South
1985,Kansas,1242,big_eight,Big Eight Conference
1985,Kansas St,1243,big_eight,Big Eight Conference
1985,Kent,1245,mac,Mid-American Conference
1985,Kentucky,1246,sec,Southeastern Conference
1985,La Salle,1247,maac,Metro Atlantic Athletic Conference
1985,Lafayette,1248,ecc,East Coast Conference
1985,Lamar,1249,southland,Southland Conference
1985,Lehigh,1250,ecc,East Coast Conference
1985,Long Beach St,1253,pcaa,Pacific Coast Athletic Association
1985,LIU Brooklyn,1254,ecacm,Eastern Collegiate Athletic Conference Metro
1985,Louisiana Tech,1256,southland,Southland Conference
1985,Louisville,1257,metro,Metropolitan Collegiate Athletic Conference
1985,Loy Marymount,1258,wcc,West Coast Conference
1985,Loyola MD,1259,ecacm,Eastern Collegiate Athletic Conference Metro
1985,Loyola-Chicago,1260,mw_city,Midwestern City Conference
1985,LSU,1261,sec,Southeastern Conference
1985,Maine,1263,ecacn,Eastern Collegiate Athletic Conference North
1985,Manhattan,1264,maac,Metro Atlantic Athletic Conference
1985,Marist,1265,ecacm,Eastern Collegiate Athletic Conference Metro
1985,Marquette,1266,ind,Independent
1985,Marshall,1267,southern,Southern Conference
1985,Maryland,1268,acc,Atlantic Coast Conference
1985,Massachusetts,1269,a_ten,Atlantic 10 Conference
1985,McNeese St,1270,southland,Southland Conference
1985,MD E Shore,1271,meac,Mid-Eastern Athletic Conference
1985,Memphis,1272,metro,Metropolitan Collegiate Athletic Conference
1985,Mercer,1273,a_sun,Atlantic Sun Conference
1985,Miami OH,1275,mac,Mid-American Conference
1985,Michigan,1276,big_ten,Big Ten Conference
1985,Michigan St,1277,big_ten,Big Ten Conference
1985,Minnesota,1278,big_ten,Big Ten Conference
1985,Mississippi,1279,sec,Southeastern Conference
1985,Mississippi St,1280,sec,Southeastern Conference
1985,Missouri,1281,big_eight,Big Eight Conference
1985,Missouri St,1283,mid_cont,Mid-Continent Conference
1985,Monmouth NJ,1284,ind,Independent
1985,Montana,1285,big_sky,Big Sky Conference
1985,Montana St,1286,big_sky,Big Sky Conference
1985,Morehead St,1287,ovc,Ohio Valley Conference
1985,Morgan St,1288,meac,Mid-Eastern Athletic Conference
1985,MS Valley St,1290,swac,Southwest Athletic Conference
1985,MTSU,1292,ovc,Ohio Valley Conference
1985,Murray St,1293,ovc,Ohio Valley Conference
1985,N Illinois,1296,mac,Mid-American Conference
1985,Navy,1298,ecacs,Eastern Collegiate Athletic Conference South
1985,NC A&T,1299,meac,Mid-Eastern Athletic Conference
1985,NC State,1301,acc,Atlantic Coast Conference
1985,Nebraska,1304,big_eight,Big Eight Conference
1985,Nevada,1305,big_sky,Big Sky Conference
1985,New Hampshire,1306,ecacn,Eastern Collegiate Athletic Conference North
1985,New Mexico,1307,wac,Western Athletic Conference
1985,New Mexico St,1308,pcaa,Pacific Coast Athletic Association
1985,New Orleans,1309,ind,Independent
1985,Niagara,1310,ecacn,Eastern Collegiate Athletic Conference North
1985,Nicholls St,1311,gsc,Gulf Star Conference
1985,North Carolina,1314,acc,Atlantic Coast Conference
1985,North Texas,1317,southland,Southland Conference
1985,Northeastern,1318,ecacn,Eastern Collegiate Athletic Conference North
1985,Northern Arizona,1319,big_sky,Big Sky Conference
1985,Northern Iowa,1320,mid_cont,Mid-Continent Conference
1985,Northwestern,1321,big_ten,Big Ten Conference
1985,Northwestern LA,1322,gsc,Gulf Star Conference
1985,Notre Dame,1323,ind,Independent
1985,Ohio,1325,mac,Mid-American Conference
1985,Ohio St,1326,big_ten,Big Ten Conference
1985,Okla City,1327,mw_city,Midwestern City Conference
1985,Oklahoma,1328,big_eight,Big Eight Conference
1985,Oklahoma St,1329,big_eight,Big Eight Conference
1985,Old Dominion,1330,sun_belt,Sun Belt Conference
1985,Oral Roberts,1331,mw_city,Midwestern City Conference
1985,Oregon,1332,pac_ten,Pacific-10 Conference
1985,Oregon St,1333,pac_ten,Pacific-10 Conference
1985,Pacific,1334,pcaa,Pacific Coast Athletic Association
1985,Penn,1335,ivy,Ivy League
1985,Penn St,1336,a_ten,Atlantic 10 Conference
1985,Pepperdine,1337,wcc,West Coast Conference
1985,Pittsburgh,1338,big_east,Big East Conference
1985,Portland,1339,wcc,West Coast Conference
1985,Prairie View,1341,swac,Southwest Athletic Conference
1985,Princeton,1343,ivy,Ivy League
1985,Providence,1344,big_east,Big East Conference
1985,Purdue,1345,big_ten,Big Ten Conference
1985,Radford,1347,ind,Independent
1985,Rhode Island,1348,a_ten,Atlantic 10 Conference
1985,Rice,1349,swc,Southwest Conference
1985,Richmond,1350,ecacs,Eastern Collegiate Athletic Conference South
1985,Rider,1351,ecc,East Coast Conference
1985,Robert Morris,1352,ecacm,Eastern Collegiate Athletic Conference Metro
1985,Rutgers,1353,a_ten,Atlantic 10 Conference
1985,S Carolina St,1354,meac,Mid-Eastern Athletic Conference
1985,S Illinois,1356,mvc,Missouri Valley Conference
1985,Samford,1359,a_sun,Atlantic Sun Conference
1985,San Diego,1360,wcc,West Coast Conference
1985,San Diego St,1361,wac,Western Athletic Conference
1985,San Jose St,1363,pcaa,Pacific Coast Athletic Association
